CH4.xyz        0 0       1 2
CO.xyz         0 0       1 2
H2CCH2.xyz     0 0       1 4
H2CNH.xyz      0 0       1 4
H2CO.xyz       0 0       1 4
H2CS.xyz       0 0       1 4
H2NNH2.xyz     0 0       1 4
H2NOH.xyz      0 0       1 4
H2NSH.xyz      0 0       1 4
H2O.xyz        0 0       1 2
H2S.xyz        0 0       1 2
H2.xyz         0 0       1 2
H3CCH3.xyz     0 0       1 5
H3CNH2.xyz     0 0       1 5
H3COH.xyz      0 0       1 5
H3CSH.xyz      0 0       1 5
HCCH.xyz       0 0       2 3
HCN.xyz        0 0       1 3
HNNH.xyz       0 0       2 3
HOOH.xyz       0 0       2 3
HSSH.xyz       0 0       2 3
N2.xyz         0 0       1 2
NH3.xyz        0 0       1 2
NO.xyz         0 1       1 2
O2.xyz         0 2       1 2
SO2.xyz        0 0       1 2
